date,hour,street_type,unique_devices
2020-07-11,8,Regular,547
2020-07-11,9,Regular,1036
2020-07-11,10,Regular,1246
2020-07-11,11,Regular,1591
2020-07-11,12,Regular,1859
2020-07-11,13,Regular,2025
2020-07-11,14,Regular,1923
2020-07-11,15,Regular,2058
2020-07-11,16,Regular,2055
2020-07-11,17,Regular,2325
2020-07-11,18,Regular,2288
2020-07-11,19,Regular,2139
2020-07-11,20,Regular,2136
2020-07-11,21,Regular,1965
2020-07-11,22,Regular,1611
2020-07-11,23,Regular,1204
2020-07-12,0,Regular,884
2020-07-12,1,Regular,647
2020-07-12,2,Regular,496
2020-07-12,3,Regular,372
2020-07-12,4,Regular,269
2020-07-12,5,Regular,346
2020-07-12,6,Regular,374
2020-07-12,7,Regular,473
2020-07-12,8,Regular,613
2020-07-12,9,Regular,1001
2020-07-12,10,Regular,1070
2020-07-12,11,Regular,1292
2020-07-12,12,Regular,1617
2020-07-12,13,Regular,1674
2020-07-12,14,Regular,1719
2020-07-12,15,Regular,1777
2020-07-12,16,Regular,1801
2020-07-12,17,Regular,1826
2020-07-12,18,Regular,1849
2020-07-12,19,Regular,1749
2020-07-12,20,Regular,1605
2020-07-12,21,Regular,1451
2020-07-12,22,Regular,1112
2020-07-12,23,Regular,814
2020-07-13,0,Regular,508
2020-07-13,1,Regular,380
2020-07-13,2,Regular,303
2020-07-13,3,Regular,270
2020-07-13,4,Regular,255
2020-07-13,5,Regular,340
2020-07-13,6,Regular,602
2020-07-13,7,Regular,929
2020-07-13,8,Regular,1520
2020-07-13,9,Regular,1246
2020-07-13,10,Regular,1080
2020-07-13,11,Regular,1264
2020-07-13,12,Regular,1352
2020-07-14,9,Regular,1459
2020-07-14,10,Regular,1619
2020-07-14,11,Regular,1703
2020-07-14,12,Regular,2133
2020-07-14,13,Regular,2015
2020-07-14,14,Regular,1923
2020-07-14,15,Regular,2058
2020-07-14,16,Regular,2412
2020-07-14,17,Regular,2714
2020-07-14,18,Regular,2646
2020-07-14,19,Regular,2289
2020-07-14,20,Regular,1987
2020-07-14,21,Regular,1920
2020-07-14,22,Regular,1636
2020-07-14,23,Regular,1210
2020-07-15,0,Regular,712
2020-07-15,1,Regular,545
2020-07-15,2,Regular,406
2020-07-15,3,Regular,316
2020-07-15,4,Regular,273
2020-07-15,5,Regular,390
2020-07-15,6,Regular,687
2020-07-15,7,Regular,1063
2020-07-15,8,Regular,1749
2020-07-15,9,Regular,1513
2020-07-15,10,Regular,1461
2020-07-15,11,Regular,1559
2020-07-15,12,Regular,1858
2020-07-15,13,Regular,2084
2020-07-15,14,Regular,1933
2020-07-15,15,Regular,2102
2020-07-15,16,Regular,2391
2020-07-15,17,Regular,2596
2020-07-15,18,Regular,2758
2020-07-15,19,Regular,2326
2020-07-15,20,Regular,2097
2020-07-15,21,Regular,1934
2020-07-15,22,Regular,1611
2020-07-15,23,Regular,1094
2020-07-16,0,Regular,772
2020-07-16,1,Regular,557
2020-07-16,2,Regular,435
2020-07-16,3,Regular,335
2020-07-16,4,Regular,269
2020-07-16,5,Regular,396
2020-07-16,6,Regular,645
2020-07-16,7,Regular,1155
2020-07-16,8,Regular,1808
2020-07-16,9,Regular,1715
2020-07-16,10,Regular,1640
2020-07-16,11,Regular,1771
2020-07-16,12,Regular,2032
2020-07-16,13,Regular,2112
2020-07-16,14,Regular,2071
2020-07-16,15,Regular,2336
2020-07-16,16,Regular,2781
2020-07-16,17,Regular,2964
2020-07-16,18,Regular,2975
2020-07-16,19,Regular,2619
2020-07-16,20,Regular,2347
2020-07-16,21,Regular,2177
2020-07-16,22,Regular,1697
2020-07-16,23,Regular,1179
2020-07-17,0,Regular,778
2020-07-17,1,Regular,596
2020-07-17,2,Regular,424
2020-07-17,3,Regular,349
2020-07-17,4,Regular,318
2020-07-17,5,Regular,483
2020-07-17,6,Regular,824
2020-07-17,7,Regular,1457
2020-07-17,8,Regular,1969
2020-07-17,9,Regular,1552
2020-07-17,10,Regular,1464
2020-07-17,11,Regular,1642
2020-07-17,12,Regular,1964
2020-07-17,13,Regular,1907
2020-07-17,14,Regular,1941
2020-07-17,15,Regular,2208
2020-07-17,16,Regular,2342
2020-07-17,17,Regular,2609
2020-07-17,18,Regular,2886
2020-07-17,19,Regular,2746
2020-07-17,20,Regular,2446
2020-07-17,21,Regular,2255
2020-07-17,22,Regular,2012
2020-07-17,23,Regular,1511
2020-07-18,0,Regular,1040
2020-07-18,1,Regular,731
2020-07-18,2,Regular,539
2020-07-18,3,Regular,399
2020-07-18,4,Regular,302
2020-07-18,5,Regular,433
2020-07-18,6,Regular,594
2020-07-18,7,Regular,686
2020-07-18,8,Regular,965
2020-07-18,9,Regular,1338
2020-07-18,10,Regular,1581
2020-07-18,11,Regular,1906
2020-07-18,12,Regular,2289
2020-07-18,13,Regular,2376
2020-07-18,14,Regular,2284
2020-07-18,15,Regular,2221
2020-07-18,16,Regular,2340
2020-07-18,17,Regular,2675
2020-07-18,18,Regular,2585
2020-07-18,19,Regular,2322
2020-07-18,20,Regular,2247
2020-07-18,21,Regular,2022
2020-07-18,22,Regular,1794
2020-07-18,23,Regular,1392
2020-07-19,0,Regular,1088
2020-07-19,1,Regular,706
2020-07-19,2,Regular,540
2020-07-19,3,Regular,415
2020-07-19,4,Regular,355
2020-07-19,5,Regular,380
2020-07-19,6,Regular,454
2020-07-19,7,Regular,529
2020-07-19,8,Regular,820
2020-07-19,9,Regular,1059
2020-07-19,10,Regular,1277
2020-07-19,11,Regular,1459
2020-07-19,12,Regular,1850
2020-07-19,13,Regular,1911
2020-07-19,14,Regular,1948
2020-07-19,15,Regular,2024
2020-07-19,16,Regular,2105
2020-07-19,17,Regular,2148
2020-07-19,18,Regular,2224
2020-07-19,19,Regular,2249
2020-07-19,20,Regular,1957
2020-07-19,21,Regular,1750
2020-07-19,22,Regular,1400
2020-07-19,23,Regular,1038
2020-07-20,0,Regular,759
2020-07-20,1,Regular,626
2020-07-20,2,Regular,403
2020-07-20,3,Regular,350
2020-07-20,4,Regular,267
2020-07-20,5,Regular,462
2020-07-20,6,Regular,710
2020-07-20,7,Regular,1217
2020-07-20,8,Regular,2183
2020-07-20,9,Regular,1488
2020-07-11,8,Pedestrian,510
2020-07-11,9,Pedestrian,805
2020-07-11,10,Pedestrian,983
2020-07-11,11,Pedestrian,1222
2020-07-11,12,Pedestrian,1507
2020-07-11,13,Pedestrian,1654
2020-07-11,14,Pedestrian,1639
2020-07-11,15,Pedestrian,1601
2020-07-11,16,Pedestrian,1643
2020-07-11,17,Pedestrian,1903
2020-07-11,18,Pedestrian,1799
2020-07-11,19,Pedestrian,1605
2020-07-11,20,Pedestrian,1691
2020-07-11,21,Pedestrian,1566
2020-07-11,22,Pedestrian,1262
2020-07-11,23,Pedestrian,971
2020-07-12,0,Pedestrian,741
2020-07-12,1,Pedestrian,569
2020-07-12,2,Pedestrian,448
2020-07-12,3,Pedestrian,335
2020-07-12,4,Pedestrian,244
2020-07-12,5,Pedestrian,296
2020-07-12,6,Pedestrian,331
2020-07-12,7,Pedestrian,341
2020-07-12,8,Pedestrian,395
2020-07-12,9,Pedestrian,663
2020-07-12,10,Pedestrian,699
2020-07-12,11,Pedestrian,843
2020-07-12,12,Pedestrian,1050
2020-07-12,13,Pedestrian,1116
2020-07-12,14,Pedestrian,1136
2020-07-12,15,Pedestrian,1133
2020-07-12,16,Pedestrian,1212
2020-07-12,17,Pedestrian,1205
2020-07-12,18,Pedestrian,1251
2020-07-12,19,Pedestrian,1144
2020-07-12,20,Pedestrian,1039
2020-07-12,21,Pedestrian,984
2020-07-12,22,Pedestrian,709
2020-07-12,23,Pedestrian,554
2020-07-13,0,Pedestrian,370
2020-07-13,1,Pedestrian,306
2020-07-13,2,Pedestrian,243
2020-07-13,3,Pedestrian,199
2020-07-13,4,Pedestrian,171
2020-07-13,5,Pedestrian,205
2020-07-13,6,Pedestrian,352
2020-07-13,7,Pedestrian,495
2020-07-13,8,Pedestrian,830
2020-07-13,9,Pedestrian,677
2020-07-13,10,Pedestrian,614
2020-07-13,11,Pedestrian,753
2020-07-13,12,Pedestrian,862
2020-07-13,13,Pedestrian,931
2020-07-13,14,Pedestrian,978
2020-07-13,15,Pedestrian,1138
2020-07-13,16,Pedestrian,1153
2020-07-13,17,Pedestrian,1324
2020-07-13,18,Pedestrian,1478
2020-07-13,19,Pedestrian,1313
2020-07-13,20,Pedestrian,1199
2020-07-13,21,Pedestrian,1122
2020-07-13,22,Pedestrian,879
2020-07-13,23,Pedestrian,646
2020-07-14,0,Pedestrian,477
2020-07-14,1,Pedestrian,358
2020-07-14,2,Pedestrian,269
2020-07-14,3,Pedestrian,210
2020-07-14,4,Pedestrian,185
2020-07-14,5,Pedestrian,214
2020-07-14,6,Pedestrian,369
2020-07-14,7,Pedestrian,605
2020-07-14,8,Pedestrian,981
2020-07-14,9,Pedestrian,831
2020-07-14,10,Pedestrian,931
2020-07-14,11,Pedestrian,990
2020-07-14,12,Pedestrian,1257
2020-07-14,13,Pedestrian,1274
2020-07-14,14,Pedestrian,1188
2020-07-14,15,Pedestrian,1322
2020-07-14,16,Pedestrian,1547
2020-07-14,17,Pedestrian,1696
2020-07-14,18,Pedestrian,1801
2020-07-14,19,Pedestrian,1576
2020-07-14,20,Pedestrian,1411
2020-07-14,21,Pedestrian,1380
2020-07-14,22,Pedestrian,1106
2020-07-14,23,Pedestrian,885
2020-07-15,0,Pedestrian,562
2020-07-15,1,Pedestrian,429
2020-07-15,2,Pedestrian,300
2020-07-15,3,Pedestrian,245
2020-07-15,4,Pedestrian,220
2020-07-15,5,Pedestrian,263
2020-07-15,6,Pedestrian,449
2020-07-15,7,Pedestrian,647
2020-07-15,8,Pedestrian,1048
2020-07-15,9,Pedestrian,951
2020-07-15,10,Pedestrian,839
2020-07-15,11,Pedestrian,960
2020-07-15,12,Pedestrian,1183
2020-07-15,13,Pedestrian,1302
2020-07-15,14,Pedestrian,1233
2020-07-15,15,Pedestrian,1284
2020-07-15,16,Pedestrian,1552
2020-07-15,17,Pedestrian,1722
2020-07-15,18,Pedestrian,1755
2020-07-15,19,Pedestrian,1557
2020-07-15,20,Pedestrian,1455
2020-07-15,21,Pedestrian,1261
2020-07-15,22,Pedestrian,1024
2020-07-15,23,Pedestrian,791
2020-07-16,0,Pedestrian,551
2020-07-16,1,Pedestrian,420
2020-07-16,2,Pedestrian,322
2020-07-16,3,Pedestrian,258
2020-07-16,4,Pedestrian,216
2020-07-16,5,Pedestrian,260
2020-07-16,6,Pedestrian,381
2020-07-16,7,Pedestrian,657
2020-07-16,8,Pedestrian,1012
2020-07-16,9,Pedestrian,910
2020-07-16,10,Pedestrian,911
2020-07-16,11,Pedestrian,979
2020-07-16,12,Pedestrian,1226
2020-07-16,13,Pedestrian,1278
2020-07-16,14,Pedestrian,1223
2020-07-16,15,Pedestrian,1292
2020-07-16,16,Pedestrian,1599
2020-07-16,17,Pedestrian,1677
2020-07-16,18,Pedestrian,1775
2020-07-16,19,Pedestrian,1647
2020-07-16,20,Pedestrian,1437
2020-07-16,21,Pedestrian,1402
2020-07-16,22,Pedestrian,1067
2020-07-16,23,Pedestrian,781
2020-07-17,0,Pedestrian,533
2020-07-17,1,Pedestrian,422
2020-07-17,2,Pedestrian,309
2020-07-17,3,Pedestrian,247
2020-07-17,4,Pedestrian,195
2020-07-17,5,Pedestrian,271
2020-07-17,6,Pedestrian,404
2020-07-17,7,Pedestrian,688
2020-07-17,8,Pedestrian,1003
2020-07-17,9,Pedestrian,886
2020-07-17,10,Pedestrian,1004
2020-07-17,11,Pedestrian,1068
2020-07-17,12,Pedestrian,1211
2020-07-17,13,Pedestrian,1368
2020-07-17,14,Pedestrian,1386
2020-07-17,15,Pedestrian,1665
2020-07-17,16,Pedestrian,1798
2020-07-17,17,Pedestrian,1963
2020-07-17,18,Pedestrian,2089
2020-07-17,19,Pedestrian,2172
2020-07-17,20,Pedestrian,2045
2020-07-17,21,Pedestrian,2065
2020-07-17,22,Pedestrian,1777
2020-07-17,23,Pedestrian,1452
2020-07-18,0,Pedestrian,1112
2020-07-18,1,Pedestrian,887
2020-07-18,2,Pedestrian,660
2020-07-18,3,Pedestrian,492
2020-07-18,4,Pedestrian,371
2020-07-18,5,Pedestrian,394
2020-07-18,6,Pedestrian,370
2020-07-18,7,Pedestrian,427
2020-07-18,8,Pedestrian,554
2020-07-18,9,Pedestrian,777
2020-07-18,10,Pedestrian,911
2020-07-18,11,Pedestrian,1050
2020-07-18,12,Pedestrian,1364
2020-07-18,13,Pedestrian,1389
2020-07-18,14,Pedestrian,1259
2020-07-18,15,Pedestrian,1178
2020-07-18,16,Pedestrian,999
2020-07-18,17,Pedestrian,1019
2020-07-18,18,Pedestrian,1074
2020-07-18,19,Pedestrian,951
2020-07-18,20,Pedestrian,863
2020-07-18,21,Pedestrian,816
2020-07-18,22,Pedestrian,788
2020-07-18,23,Pedestrian,608
2020-07-19,0,Pedestrian,441
2020-07-19,1,Pedestrian,354
2020-07-19,2,Pedestrian,275
2020-07-19,3,Pedestrian,205
2020-07-19,4,Pedestrian,165
2020-07-19,5,Pedestrian,163
2020-07-19,6,Pedestrian,174
2020-07-19,7,Pedestrian,230
2020-07-19,8,Pedestrian,306
2020-07-19,9,Pedestrian,392
2020-07-19,10,Pedestrian,684
2020-07-19,11,Pedestrian,839
2020-07-19,12,Pedestrian,1058
2020-07-19,13,Pedestrian,1172
2020-07-19,14,Pedestrian,1221
2020-07-19,15,Pedestrian,1289
2020-07-19,16,Pedestrian,1250
2020-07-19,17,Pedestrian,1305
2020-07-19,18,Pedestrian,1474
2020-07-19,19,Pedestrian,1401
2020-07-19,20,Pedestrian,1230
2020-07-19,21,Pedestrian,1151
2020-07-19,22,Pedestrian,930
2020-07-19,23,Pedestrian,715
2020-07-20,0,Pedestrian,485
2020-07-20,1,Pedestrian,442
2020-07-20,2,Pedestrian,356
2020-07-20,3,Pedestrian,240
2020-07-20,4,Pedestrian,187
2020-07-20,5,Pedestrian,279
2020-07-20,6,Pedestrian,376
2020-07-20,7,Pedestrian,647
2020-07-20,8,Pedestrian,1070
2020-07-20,9,Pedestrian,845
2020-07-13,13,Regular,1427
2020-07-13,14,Regular,1464
2020-07-13,15,Regular,1747
2020-07-13,16,Regular,1749
2020-07-13,17,Regular,2076
2020-07-13,18,Regular,2301
2020-07-13,19,Regular,2029
2020-07-13,20,Regular,1865
2020-07-13,21,Regular,1730
2020-07-13,22,Regular,1444
2020-07-13,23,Regular,987
2020-07-14,0,Regular,661
2020-07-14,1,Regular,471
2020-07-14,2,Regular,324
2020-07-14,3,Regular,259
2020-07-14,4,Regular,231
2020-07-14,5,Regular,342
2020-07-14,6,Regular,573
2020-07-14,7,Regular,976
2020-07-14,8,Regular,1654
2020-07-20,10,Pedestrian,546
2020-07-20,11,Pedestrian,74
2020-07-20,10,Regular,537
2020-07-20,12,Pedestrian,40
2020-07-20,11,Regular,69
2020-07-20,12,Regular,38
2020-07-11,7,Pedestrian,99
