hour,is_weekend,street_type,unique_devices,n_sensors,devices_per_sensor
8,TRUE,Regular,2375,13,182.692307692308
9,TRUE,Regular,3608,13,277.538461538462
10,TRUE,Regular,4276,13,328.923076923077
11,TRUE,Regular,5261,13,404.692307692308
12,TRUE,Regular,6509,13,500.692307692308
13,TRUE,Regular,6846,13,526.615384615385
14,TRUE,Regular,6705,13,515.769230769231
15,TRUE,Regular,6777,13,521.307692307692
16,TRUE,Regular,6920,13,532.307692307692
17,TRUE,Regular,7550,13,580.769230769231
18,TRUE,Regular,7489,13,576.076923076923
19,TRUE,Regular,7147,13,549.769230769231
20,TRUE,Regular,6560,13,504.615384615385
21,TRUE,Regular,5897,13,453.615384615385
22,TRUE,Regular,4769,13,366.846153846154
23,TRUE,Regular,3539,13,272.230769230769
0,TRUE,Regular,2536,13,195.076923076923
1,TRUE,Regular,1693,13,130.230769230769
2,TRUE,Regular,1243,13,95.6153846153846
3,TRUE,Regular,916,13,70.4615384615385
4,TRUE,Regular,715,13,55
5,TRUE,Regular,904,13,69.5384615384615
6,TRUE,Regular,1153,13,88.6923076923077
7,TRUE,Regular,1370,13,105.384615384615
0,FALSE,Regular,2819,13,216.846153846154
1,FALSE,Regular,2084,13,160.307692307692
2,FALSE,Regular,1432,13,110.153846153846
3,FALSE,Regular,1140,13,87.6923076923077
4,FALSE,Regular,913,13,70.2307692307692
5,FALSE,Regular,1433,13,110.230769230769
6,FALSE,Regular,2379,13,183
7,FALSE,Regular,3910,13,300.769230769231
8,FALSE,Regular,6082,13,467.846153846154
9,FALSE,Regular,5616,13,432
10,FALSE,Regular,5441,13,418.538461538462
11,FALSE,Regular,5791,13,445.461538461538
12,FALSE,Regular,6890,13,530
13,FALSE,Regular,6964,13,535.692307692308
14,FALSE,Regular,6825,13,525
15,FALSE,Regular,7447,13,572.846153846154
16,FALSE,Regular,8381,13,644.692307692308
17,FALSE,Regular,9143,13,703.307692307692
18,FALSE,Regular,9687,13,745.153846153846
19,FALSE,Regular,8887,13,683.615384615385
20,FALSE,Regular,7979,13,613.769230769231
21,FALSE,Regular,7362,13,566.307692307692
22,FALSE,Regular,6200,13,476.923076923077
23,FALSE,Regular,4366,13,335.846153846154
8,TRUE,Pedestrian,1441,7,205.857142857143
9,TRUE,Pedestrian,2198,7,314
10,TRUE,Pedestrian,2716,7,388
11,TRUE,Pedestrian,3339,7,477
12,TRUE,Pedestrian,4309,7,615.571428571429
13,TRUE,Pedestrian,4618,7,659.714285714286
14,TRUE,Pedestrian,4563,7,651.857142857143
15,TRUE,Pedestrian,4449,7,635.571428571429
16,TRUE,Pedestrian,4363,7,623.285714285714
17,TRUE,Pedestrian,4664,7,666.285714285714
18,TRUE,Pedestrian,4808,7,686.857142857143
19,TRUE,Pedestrian,4405,7,629.285714285714
20,TRUE,Pedestrian,4149,7,592.714285714286
21,TRUE,Pedestrian,3854,7,550.571428571429
22,TRUE,Pedestrian,3074,7,439.142857142857
23,TRUE,Pedestrian,2331,7,333
0,TRUE,Pedestrian,1967,7,281
1,TRUE,Pedestrian,1530,7,218.571428571429
2,TRUE,Pedestrian,1155,7,165
3,TRUE,Pedestrian,841,7,120.142857142857
4,TRUE,Pedestrian,630,7,90
5,TRUE,Pedestrian,682,7,97.4285714285714
6,TRUE,Pedestrian,720,7,102.857142857143
7,TRUE,Pedestrian,902,7,128.857142857143
0,FALSE,Pedestrian,1962,7,280.285714285714
1,FALSE,Pedestrian,1544,7,220.571428571429
2,FALSE,Pedestrian,1113,7,159
3,FALSE,Pedestrian,778,7,111.142857142857
4,FALSE,Pedestrian,624,7,89.1428571428572
5,FALSE,Pedestrian,856,7,122.285714285714
6,FALSE,Pedestrian,1361,7,194.428571428571
7,FALSE,Pedestrian,2225,7,317.857142857143
8,FALSE,Pedestrian,3575,7,510.714285714286
9,FALSE,Pedestrian,3318,7,474
10,FALSE,Pedestrian,3478,7,496.857142857143
11,FALSE,Pedestrian,3506,7,500.857142857143
12,FALSE,Pedestrian,4298,7,614
13,FALSE,Pedestrian,4557,7,651
14,FALSE,Pedestrian,4550,7,650
15,FALSE,Pedestrian,4946,7,706.571428571429
16,FALSE,Pedestrian,5697,7,813.857142857143
17,FALSE,Pedestrian,6224,7,889.142857142857
18,FALSE,Pedestrian,6684,7,954.857142857143
19,FALSE,Pedestrian,6406,7,915.142857142857
20,FALSE,Pedestrian,5796,7,828
21,FALSE,Pedestrian,5624,7,803.428571428571
22,FALSE,Pedestrian,4494,7,642
23,FALSE,Pedestrian,3419,7,488.428571428571
