sensor_name,date,time_block,detections,unique_devices,time_label,datetime_label
U-01,2020-07-11,0,0,0,00-04,2020-07-11 00-04
U-01,2020-07-11,1,0,0,04-08,2020-07-11 04-08
U-01,2020-07-11,2,3691,1276,08-12,2020-07-11 08-12
U-01,2020-07-11,3,6487,2131,12-16,2020-07-11 12-16
U-01,2020-07-11,4,6955,2218,16-20,2020-07-11 16-20
U-01,2020-07-11,5,4786,1681,20-24,2020-07-11 20-24
U-01,2020-07-12,0,1896,552,00-04,2020-07-12 00-04
U-01,2020-07-12,1,1439,402,04-08,2020-07-12 04-08
U-01,2020-07-12,2,2865,1181,08-12,2020-07-12 08-12
U-01,2020-07-12,3,4655,1781,12-16,2020-07-12 12-16
U-01,2020-07-12,4,5072,1828,16-20,2020-07-12 16-20
U-01,2020-07-12,5,3513,1270,20-24,2020-07-12 20-24
U-01,2020-07-13,0,1808,304,00-04,2020-07-13 00-04
U-01,2020-07-13,1,2325,799,04-08,2020-07-13 04-08
U-01,2020-07-13,2,4573,1842,08-12,2020-07-13 08-12
U-01,2020-07-13,3,951,399,12-16,2020-07-13 12-16
U-01,2020-07-13,4,0,0,16-20,2020-07-13 16-20
U-01,2020-07-13,5,0,0,20-24,2020-07-13 20-24
U-01,2020-07-14,0,0,0,00-04,2020-07-14 00-04
U-01,2020-07-14,1,0,0,04-08,2020-07-14 04-08
U-01,2020-07-14,2,3504,1267,08-12,2020-07-14 08-12
U-01,2020-07-14,3,6120,2251,12-16,2020-07-14 12-16
U-01,2020-07-14,4,6833,2661,16-20,2020-07-14 16-20
U-01,2020-07-14,5,5016,1738,20-24,2020-07-14 20-24
U-01,2020-07-15,0,1537,406,00-04,2020-07-15 00-04
U-01,2020-07-15,1,2026,841,04-08,2020-07-15 04-08
U-01,2020-07-15,2,5023,2024,08-12,2020-07-15 08-12
U-01,2020-07-15,3,6615,2318,12-16,2020-07-15 12-16
U-01,2020-07-15,4,8487,2981,16-20,2020-07-15 16-20
U-01,2020-07-15,5,5377,1867,20-24,2020-07-15 20-24
U-01,2020-07-16,0,1811,468,00-04,2020-07-16 00-04
U-01,2020-07-16,1,2044,919,04-08,2020-07-16 04-08
U-01,2020-07-16,2,5222,2143,08-12,2020-07-16 08-12
U-01,2020-07-16,3,5657,1963,12-16,2020-07-16 12-16
U-01,2020-07-16,4,6827,2782,16-20,2020-07-16 16-20
U-01,2020-07-16,5,5327,1814,20-24,2020-07-16 20-24
U-01,2020-07-17,0,1770,440,00-04,2020-07-17 00-04
U-01,2020-07-17,1,2423,927,04-08,2020-07-17 04-08
U-01,2020-07-17,2,5153,2104,08-12,2020-07-17 08-12
U-01,2020-07-17,3,5871,2217,12-16,2020-07-17 12-16
U-01,2020-07-17,4,7342,2947,16-20,2020-07-17 16-20
U-01,2020-07-17,5,5778,2003,20-24,2020-07-17 20-24
U-01,2020-07-18,0,1723,612,00-04,2020-07-18 00-04
U-01,2020-07-18,1,1415,611,04-08,2020-07-18 04-08
U-01,2020-07-18,2,4082,1735,08-12,2020-07-18 08-12
U-01,2020-07-18,3,6751,2278,12-16,2020-07-18 12-16
U-01,2020-07-18,4,6197,2399,16-20,2020-07-18 16-20
U-01,2020-07-18,5,5327,1827,20-24,2020-07-18 20-24
U-01,2020-07-19,0,2028,558,00-04,2020-07-19 00-04
U-01,2020-07-19,1,1238,417,04-08,2020-07-19 04-08
U-01,2020-07-19,2,2795,1168,08-12,2020-07-19 08-12
U-01,2020-07-19,3,5000,1924,12-16,2020-07-19 12-16
U-01,2020-07-19,4,5350,1994,16-20,2020-07-19 16-20
U-01,2020-07-19,5,4328,1377,20-24,2020-07-19 20-24
U-01,2020-07-20,0,1313,403,00-04,2020-07-20 00-04
U-01,2020-07-20,1,2246,849,04-08,2020-07-20 04-08
U-01,2020-07-20,2,2511,1161,08-12,2020-07-20 08-12
U-01,2020-07-20,3,0,0,12-16,2020-07-20 12-16
U-01,2020-07-20,4,0,0,16-20,2020-07-20 16-20
U-01,2020-07-20,5,0,0,20-24,2020-07-20 20-24
U-02,2020-07-11,0,0,0,00-04,2020-07-11 00-04
U-02,2020-07-11,1,0,0,04-08,2020-07-11 04-08
U-02,2020-07-11,2,1848,535,08-12,2020-07-11 08-12
U-02,2020-07-11,3,3532,1133,12-16,2020-07-11 12-16
U-02,2020-07-11,4,5126,1190,16-20,2020-07-11 16-20
U-02,2020-07-11,5,4088,899,20-24,2020-07-11 20-24
U-02,2020-07-12,0,1806,348,00-04,2020-07-12 00-04
U-02,2020-07-12,1,1056,212,04-08,2020-07-12 04-08
U-02,2020-07-12,2,2297,545,08-12,2020-07-12 08-12
U-02,2020-07-12,3,3365,881,12-16,2020-07-12 12-16
U-02,2020-07-12,4,2975,903,16-20,2020-07-12 16-20
U-02,2020-07-12,5,2487,597,20-24,2020-07-12 20-24
U-02,2020-07-13,0,1203,188,00-04,2020-07-13 00-04
U-02,2020-07-13,1,1100,262,04-08,2020-07-13 04-08
U-02,2020-07-13,2,2028,662,08-12,2020-07-13 08-12
U-02,2020-07-13,3,2182,733,12-16,2020-07-13 12-16
U-02,2020-07-13,4,3894,1045,16-20,2020-07-13 16-20
U-02,2020-07-13,5,3659,668,20-24,2020-07-13 20-24
U-02,2020-07-14,0,1728,239,00-04,2020-07-14 00-04
U-02,2020-07-14,1,1175,282,04-08,2020-07-14 04-08
U-02,2020-07-14,2,2169,767,08-12,2020-07-14 08-12
U-02,2020-07-14,3,2430,901,12-16,2020-07-14 12-16
U-02,2020-07-14,4,3984,1264,16-20,2020-07-14 16-20
U-02,2020-07-14,5,3711,829,20-24,2020-07-14 20-24
U-02,2020-07-15,0,1685,280,00-04,2020-07-15 00-04
U-02,2020-07-15,1,1325,336,04-08,2020-07-15 04-08
U-02,2020-07-15,2,2853,780,08-12,2020-07-15 08-12
U-02,2020-07-15,3,5468,990,12-16,2020-07-15 12-16
U-02,2020-07-15,4,5945,1320,16-20,2020-07-15 16-20
U-02,2020-07-15,5,3957,808,20-24,2020-07-15 20-24
U-02,2020-07-16,0,1786,300,00-04,2020-07-16 00-04
U-02,2020-07-16,1,1273,300,04-08,2020-07-16 04-08
U-02,2020-07-16,2,2084,785,08-12,2020-07-16 08-12
U-02,2020-07-16,3,3729,959,12-16,2020-07-16 12-16
U-02,2020-07-16,4,4209,1347,16-20,2020-07-16 16-20
U-02,2020-07-16,5,3896,931,20-24,2020-07-16 20-24
U-02,2020-07-17,0,1381,273,00-04,2020-07-17 00-04
U-02,2020-07-17,1,1053,364,04-08,2020-07-17 04-08
U-02,2020-07-17,2,2244,794,08-12,2020-07-17 08-12
U-02,2020-07-17,3,2818,980,12-16,2020-07-17 12-16
U-02,2020-07-17,4,4850,1380,16-20,2020-07-17 16-20
U-02,2020-07-17,5,6548,1076,20-24,2020-07-17 20-24
U-02,2020-07-18,0,2997,382,00-04,2020-07-18 00-04
U-02,2020-07-18,1,1807,233,04-08,2020-07-18 04-08
U-02,2020-07-18,2,2574,684,08-12,2020-07-18 08-12
U-02,2020-07-18,3,4515,1078,12-16,2020-07-18 12-16
U-02,2020-07-18,4,6255,1223,16-20,2020-07-18 16-20
U-02,2020-07-18,5,3972,879,20-24,2020-07-18 20-24
U-02,2020-07-19,0,1911,336,00-04,2020-07-19 00-04
U-02,2020-07-19,1,1025,172,04-08,2020-07-19 04-08
U-02,2020-07-19,2,2104,510,08-12,2020-07-19 08-12
U-02,2020-07-19,3,3868,907,12-16,2020-07-19 12-16
U-02,2020-07-19,4,3855,1017,16-20,2020-07-19 16-20
U-02,2020-07-19,5,3991,678,20-24,2020-07-19 20-24
U-02,2020-07-20,0,2603,231,00-04,2020-07-20 00-04
U-02,2020-07-20,1,1486,287,04-08,2020-07-20 04-08
U-02,2020-07-20,2,1512,457,08-12,2020-07-20 08-12
U-02,2020-07-20,3,0,0,12-16,2020-07-20 12-16
U-02,2020-07-20,4,0,0,16-20,2020-07-20 16-20
U-02,2020-07-20,5,0,0,20-24,2020-07-20 20-24
U-03,2020-07-11,0,0,0,00-04,2020-07-11 00-04
U-03,2020-07-11,1,0,0,04-08,2020-07-11 04-08
U-03,2020-07-11,2,1421,567,08-12,2020-07-11 08-12
U-03,2020-07-11,3,4846,1534,12-16,2020-07-11 12-16
U-03,2020-07-11,4,4780,1525,16-20,2020-07-11 16-20
U-03,2020-07-11,5,3457,1110,20-24,2020-07-11 20-24
U-03,2020-07-12,0,695,269,00-04,2020-07-12 00-04
U-03,2020-07-12,1,508,179,04-08,2020-07-12 04-08
U-03,2020-07-12,2,2372,811,08-12,2020-07-12 08-12
U-03,2020-07-12,3,3704,1332,12-16,2020-07-12 12-16
U-03,2020-07-12,4,4080,1331,16-20,2020-07-12 16-20
U-03,2020-07-12,5,2182,794,20-24,2020-07-12 20-24
U-03,2020-07-13,0,297,125,00-04,2020-07-13 00-04
U-03,2020-07-13,1,943,383,04-08,2020-07-13 04-08
U-03,2020-07-13,2,2806,1129,08-12,2020-07-13 08-12
U-03,2020-07-13,3,3806,1286,12-16,2020-07-13 12-16
U-03,2020-07-13,4,4717,1619,16-20,2020-07-13 16-20
U-03,2020-07-13,5,3073,950,20-24,2020-07-13 20-24
U-03,2020-07-14,0,446,177,00-04,2020-07-14 00-04
U-03,2020-07-14,1,85,73,04-08,2020-07-14 04-08
U-03,2020-07-14,2,120,114,08-12,2020-07-14 08-12
U-03,2020-07-14,3,0,0,12-16,2020-07-14 12-16
U-03,2020-07-14,4,0,0,16-20,2020-07-14 16-20
U-03,2020-07-14,5,0,0,20-24,2020-07-14 20-24
U-03,2020-07-15,0,0,0,00-04,2020-07-15 00-04
U-03,2020-07-15,1,0,0,04-08,2020-07-15 04-08
U-03,2020-07-15,2,300,249,08-12,2020-07-15 08-12
U-03,2020-07-15,3,648,535,12-16,2020-07-15 12-16
U-03,2020-07-15,4,953,755,16-20,2020-07-15 16-20
U-03,2020-07-15,5,454,382,20-24,2020-07-15 20-24
U-03,2020-07-16,0,76,65,00-04,2020-07-16 00-04
U-03,2020-07-16,1,128,113,04-08,2020-07-16 04-08
U-03,2020-07-16,2,449,378,08-12,2020-07-16 08-12
U-03,2020-07-16,3,555,456,12-16,2020-07-16 12-16
U-03,2020-07-16,4,834,676,16-20,2020-07-16 16-20
U-03,2020-07-16,5,504,422,20-24,2020-07-16 20-24
U-03,2020-07-17,0,70,53,00-04,2020-07-17 00-04
U-03,2020-07-17,1,140,127,04-08,2020-07-17 04-08
U-03,2020-07-17,2,511,409,08-12,2020-07-17 08-12
U-03,2020-07-17,3,552,422,12-16,2020-07-17 12-16
U-03,2020-07-17,4,716,569,16-20,2020-07-17 16-20
U-03,2020-07-17,5,432,371,20-24,2020-07-17 20-24
U-03,2020-07-18,0,86,62,00-04,2020-07-18 00-04
U-03,2020-07-18,1,79,69,04-08,2020-07-18 04-08
U-03,2020-07-18,2,261,219,08-12,2020-07-18 08-12
U-03,2020-07-18,3,481,384,12-16,2020-07-18 12-16
U-03,2020-07-18,4,472,392,16-20,2020-07-18 16-20
U-03,2020-07-18,5,385,302,20-24,2020-07-18 20-24
U-03,2020-07-19,0,82,61,00-04,2020-07-19 00-04
U-03,2020-07-19,1,43,36,04-08,2020-07-19 04-08
U-03,2020-07-19,2,50,44,08-12,2020-07-19 08-12
U-03,2020-07-19,3,0,0,12-16,2020-07-19 12-16
U-03,2020-07-19,4,0,0,16-20,2020-07-19 16-20
U-03,2020-07-19,5,0,0,20-24,2020-07-19 20-24
U-03,2020-07-20,0,0,0,00-04,2020-07-20 00-04
U-03,2020-07-20,1,0,0,04-08,2020-07-20 04-08
U-03,2020-07-20,2,0,0,08-12,2020-07-20 08-12
U-03,2020-07-20,3,0,0,12-16,2020-07-20 12-16
U-03,2020-07-20,4,0,0,16-20,2020-07-20 16-20
U-03,2020-07-20,5,0,0,20-24,2020-07-20 20-24
U-04,2020-07-11,0,0,0,00-04,2020-07-11 00-04
U-04,2020-07-11,1,0,0,04-08,2020-07-11 04-08
U-04,2020-07-11,2,3492,1540,08-12,2020-07-11 08-12
U-04,2020-07-11,3,7063,2577,12-16,2020-07-11 12-16
U-04,2020-07-11,4,7053,2633,16-20,2020-07-11 16-20
U-04,2020-07-11,5,5103,1991,20-24,2020-07-11 20-24
U-04,2020-07-12,0,1553,651,00-04,2020-07-12 00-04
U-04,2020-07-12,1,1081,499,04-08,2020-07-12 04-08
U-04,2020-07-12,2,3060,1416,08-12,2020-07-12 08-12
U-04,2020-07-12,3,5515,2124,12-16,2020-07-12 12-16
U-04,2020-07-12,4,5628,2206,16-20,2020-07-12 16-20
U-04,2020-07-12,5,3491,1395,20-24,2020-07-12 20-24
U-04,2020-07-13,0,927,321,00-04,2020-07-13 00-04
U-04,2020-07-13,1,1650,870,04-08,2020-07-13 04-08
U-04,2020-07-13,2,4491,2080,08-12,2020-07-13 08-12
U-04,2020-07-13,3,5755,2113,12-16,2020-07-13 12-16
U-04,2020-07-13,4,7885,2523,16-20,2020-07-13 16-20
U-04,2020-07-13,5,4621,1722,20-24,2020-07-13 20-24
U-04,2020-07-14,0,1083,387,00-04,2020-07-14 00-04
U-04,2020-07-14,1,1597,807,04-08,2020-07-14 04-08
U-04,2020-07-14,2,5190,2281,08-12,2020-07-14 08-12
U-04,2020-07-14,3,6739,2534,12-16,2020-07-14 12-16
U-04,2020-07-14,4,7384,2981,16-20,2020-07-14 16-20
U-04,2020-07-14,5,5123,1930,20-24,2020-07-14 20-24
U-04,2020-07-15,0,1282,470,00-04,2020-07-15 00-04
U-04,2020-07-15,1,1777,920,04-08,2020-07-15 04-08
U-04,2020-07-15,2,5142,2287,08-12,2020-07-15 08-12
U-04,2020-07-15,3,6701,2534,12-16,2020-07-15 12-16
U-04,2020-07-15,4,7904,3068,16-20,2020-07-15 16-20
U-04,2020-07-15,5,5106,1932,20-24,2020-07-15 20-24
U-04,2020-07-16,0,1503,481,00-04,2020-07-16 00-04
U-04,2020-07-16,1,2020,972,04-08,2020-07-16 04-08
U-04,2020-07-16,2,5599,2286,08-12,2020-07-16 08-12
U-04,2020-07-16,3,6446,2162,12-16,2020-07-16 12-16
U-04,2020-07-16,4,6994,2732,16-20,2020-07-16 16-20
U-04,2020-07-16,5,5084,1900,20-24,2020-07-16 20-24
U-04,2020-07-17,0,1283,446,00-04,2020-07-17 00-04
U-04,2020-07-17,1,1941,981,04-08,2020-07-17 04-08
U-04,2020-07-17,2,5451,2239,08-12,2020-07-17 08-12
U-04,2020-07-17,3,7036,2478,12-16,2020-07-17 12-16
U-04,2020-07-17,4,7951,3101,16-20,2020-07-17 16-20
U-04,2020-07-17,5,6276,2219,20-24,2020-07-17 20-24
U-04,2020-07-18,0,2030,697,00-04,2020-07-18 00-04
U-04,2020-07-18,1,1632,710,04-08,2020-07-18 04-08
U-04,2020-07-18,2,4550,1883,08-12,2020-07-18 08-12
U-04,2020-07-18,3,7305,2377,12-16,2020-07-18 12-16
U-04,2020-07-18,4,6924,2571,16-20,2020-07-18 16-20
U-04,2020-07-18,5,5556,1944,20-24,2020-07-18 20-24
U-04,2020-07-19,0,1851,604,00-04,2020-07-19 00-04
U-04,2020-07-19,1,1119,462,04-08,2020-07-19 04-08
U-04,2020-07-19,2,2750,1189,08-12,2020-07-19 08-12
U-04,2020-07-19,3,5278,1815,12-16,2020-07-19 12-16
U-04,2020-07-19,4,5762,1896,16-20,2020-07-19 16-20
U-04,2020-07-19,5,3945,1343,20-24,2020-07-19 20-24
U-04,2020-07-20,0,1196,395,00-04,2020-07-20 00-04
U-04,2020-07-20,1,1991,822,04-08,2020-07-20 04-08
U-04,2020-07-20,2,2407,1161,08-12,2020-07-20 08-12
U-04,2020-07-20,3,0,0,12-16,2020-07-20 12-16
U-04,2020-07-20,4,0,0,16-20,2020-07-20 16-20
U-04,2020-07-20,5,0,0,20-24,2020-07-20 20-24
U-05,2020-07-11,0,0,0,00-04,2020-07-11 00-04
U-05,2020-07-11,1,0,0,04-08,2020-07-11 04-08
U-05,2020-07-11,2,1043,307,08-12,2020-07-11 08-12
U-05,2020-07-11,3,3273,831,12-16,2020-07-11 12-16
U-05,2020-07-11,4,4544,1076,16-20,2020-07-11 16-20
U-05,2020-07-11,5,4031,888,20-24,2020-07-11 20-24
U-05,2020-07-12,0,1752,313,00-04,2020-07-12 00-04
U-05,2020-07-12,1,586,120,04-08,2020-07-12 04-08
U-05,2020-07-12,2,1124,276,08-12,2020-07-12 08-12
U-05,2020-07-12,3,2896,664,12-16,2020-07-12 12-16
U-05,2020-07-12,4,3879,845,16-20,2020-07-12 16-20
U-05,2020-07-12,5,2986,584,20-24,2020-07-12 20-24
U-05,2020-07-13,0,1419,168,00-04,2020-07-13 00-04
U-05,2020-07-13,1,484,93,04-08,2020-07-13 04-08
U-05,2020-07-13,2,721,224,08-12,2020-07-13 08-12
U-05,2020-07-13,3,5506,601,12-16,2020-07-13 12-16
U-05,2020-07-13,4,3734,896,16-20,2020-07-13 16-20
U-05,2020-07-13,5,2883,700,20-24,2020-07-13 20-24
U-05,2020-07-14,0,1251,234,00-04,2020-07-14 00-04
U-05,2020-07-14,1,529,113,04-08,2020-07-14 04-08
U-05,2020-07-14,2,1559,365,08-12,2020-07-14 08-12
U-05,2020-07-14,3,3651,682,12-16,2020-07-14 12-16
U-05,2020-07-14,4,6308,1137,16-20,2020-07-14 16-20
U-05,2020-07-14,5,5696,1022,20-24,2020-07-14 20-24
U-05,2020-07-15,0,2343,262,00-04,2020-07-15 00-04
U-05,2020-07-15,1,944,133,04-08,2020-07-15 04-08
U-05,2020-07-15,2,1495,345,08-12,2020-07-15 08-12
U-05,2020-07-15,3,6236,736,12-16,2020-07-15 12-16
U-05,2020-07-15,4,6443,995,16-20,2020-07-15 16-20
U-05,2020-07-15,5,4854,758,20-24,2020-07-15 20-24
U-05,2020-07-16,0,1674,257,00-04,2020-07-16 00-04
U-05,2020-07-16,1,569,95,04-08,2020-07-16 04-08
U-05,2020-07-16,2,1333,331,08-12,2020-07-16 08-12
U-05,2020-07-16,3,3538,606,12-16,2020-07-16 12-16
U-05,2020-07-16,4,3791,969,16-20,2020-07-16 16-20
U-05,2020-07-16,5,4513,736,20-24,2020-07-16 20-24
U-05,2020-07-17,0,2720,226,00-04,2020-07-17 00-04
U-05,2020-07-17,1,506,108,04-08,2020-07-17 04-08
U-05,2020-07-17,2,1407,378,08-12,2020-07-17 08-12
U-05,2020-07-17,3,3148,724,12-16,2020-07-17 12-16
U-05,2020-07-17,4,6258,1129,16-20,2020-07-17 16-20
U-05,2020-07-17,5,4391,889,20-24,2020-07-17 20-24
U-05,2020-07-18,0,0,0,00-04,2020-07-18 00-04
U-05,2020-07-18,1,0,0,04-08,2020-07-18 04-08
U-05,2020-07-18,2,0,0,08-12,2020-07-18 08-12
U-05,2020-07-18,3,0,0,12-16,2020-07-18 12-16
U-05,2020-07-18,4,0,0,16-20,2020-07-18 16-20
U-05,2020-07-18,5,0,0,20-24,2020-07-18 20-24
U-05,2020-07-19,0,0,0,00-04,2020-07-19 00-04
U-05,2020-07-19,1,0,0,04-08,2020-07-19 04-08
U-05,2020-07-19,2,622,203,08-12,2020-07-19 08-12
U-05,2020-07-19,3,3339,746,12-16,2020-07-19 12-16
U-05,2020-07-19,4,3355,918,16-20,2020-07-19 16-20
U-05,2020-07-19,5,2410,604,20-24,2020-07-19 20-24
U-05,2020-07-20,0,1211,189,00-04,2020-07-20 00-04
U-05,2020-07-20,1,397,105,04-08,2020-07-20 04-08
U-05,2020-07-20,2,375,119,08-12,2020-07-20 08-12
U-05,2020-07-20,3,0,0,12-16,2020-07-20 12-16
U-05,2020-07-20,4,0,0,16-20,2020-07-20 16-20
U-05,2020-07-20,5,0,0,20-24,2020-07-20 20-24
U-06,2020-07-11,0,0,0,00-04,2020-07-11 00-04
U-06,2020-07-11,1,0,0,04-08,2020-07-11 04-08
U-06,2020-07-11,2,3825,1516,08-12,2020-07-11 08-12
U-06,2020-07-11,3,7058,2317,12-16,2020-07-11 12-16
U-06,2020-07-11,4,6461,2156,16-20,2020-07-11 16-20
U-06,2020-07-11,5,5814,1949,20-24,2020-07-11 20-24
U-06,2020-07-12,0,2091,705,00-04,2020-07-12 00-04
U-06,2020-07-12,1,1374,501,04-08,2020-07-12 04-08
U-06,2020-07-12,2,3175,1269,08-12,2020-07-12 08-12
U-06,2020-07-12,3,5422,1828,12-16,2020-07-12 12-16
U-06,2020-07-12,4,5309,1781,16-20,2020-07-12 16-20
U-06,2020-07-12,5,3458,1299,20-24,2020-07-12 20-24
U-06,2020-07-13,0,1030,302,00-04,2020-07-13 00-04
U-06,2020-07-13,1,1549,725,04-08,2020-07-13 04-08
U-06,2020-07-13,2,2238,984,08-12,2020-07-13 08-12
U-06,2020-07-13,3,5439,1696,12-16,2020-07-13 12-16
U-06,2020-07-13,4,5976,2054,16-20,2020-07-13 16-20
U-06,2020-07-13,5,4348,1638,20-24,2020-07-13 20-24
U-06,2020-07-14,0,1147,383,00-04,2020-07-14 00-04
U-06,2020-07-14,1,1456,688,04-08,2020-07-14 04-08
U-06,2020-07-14,2,4635,1708,08-12,2020-07-14 08-12
U-06,2020-07-14,3,5710,1666,12-16,2020-07-14 12-16
U-06,2020-07-14,4,6628,2181,16-20,2020-07-14 16-20
U-06,2020-07-14,5,5203,1668,20-24,2020-07-14 20-24
U-06,2020-07-15,0,1473,465,00-04,2020-07-15 00-04
U-06,2020-07-15,1,1742,770,04-08,2020-07-15 04-08
U-06,2020-07-15,2,5409,1788,08-12,2020-07-15 08-12
U-06,2020-07-15,3,7732,2008,12-16,2020-07-15 12-16
U-06,2020-07-15,4,8499,2422,16-20,2020-07-15 16-20
U-06,2020-07-15,5,5612,1664,20-24,2020-07-15 20-24
U-06,2020-07-16,0,1956,518,00-04,2020-07-16 00-04
U-06,2020-07-16,1,1943,773,04-08,2020-07-16 04-08
U-06,2020-07-16,2,5989,1846,08-12,2020-07-16 08-12
U-06,2020-07-16,3,6486,1698,12-16,2020-07-16 12-16
U-06,2020-07-16,4,7298,2243,16-20,2020-07-16 16-20
U-06,2020-07-16,5,5595,1748,20-24,2020-07-16 20-24
U-06,2020-07-17,0,1745,487,00-04,2020-07-17 00-04
U-06,2020-07-17,1,1940,844,04-08,2020-07-17 04-08
U-06,2020-07-17,2,5943,1851,08-12,2020-07-17 08-12
U-06,2020-07-17,3,7191,1890,12-16,2020-07-17 12-16
U-06,2020-07-17,4,8523,2454,16-20,2020-07-17 16-20
U-06,2020-07-17,5,6983,2107,20-24,2020-07-17 20-24
U-06,2020-07-18,0,2265,716,00-04,2020-07-18 00-04
U-06,2020-07-18,1,1592,593,04-08,2020-07-18 04-08
U-06,2020-07-18,2,4379,1443,08-12,2020-07-18 08-12
U-06,2020-07-18,3,7424,1883,12-16,2020-07-18 12-16
U-06,2020-07-18,4,7535,2133,16-20,2020-07-18 16-20
U-06,2020-07-18,5,5805,1800,20-24,2020-07-18 20-24
U-06,2020-07-19,0,2067,573,00-04,2020-07-19 00-04
U-06,2020-07-19,1,1376,427,04-08,2020-07-19 04-08
U-06,2020-07-19,2,3167,1141,08-12,2020-07-19 08-12
U-06,2020-07-19,3,6115,1661,12-16,2020-07-19 12-16
U-06,2020-07-19,4,6566,1910,16-20,2020-07-19 16-20
U-06,2020-07-19,5,4679,1411,20-24,2020-07-19 20-24
U-06,2020-07-20,0,1569,459,00-04,2020-07-20 00-04
U-06,2020-07-20,1,2097,761,04-08,2020-07-20 04-08
U-06,2020-07-20,2,2876,1018,08-12,2020-07-20 08-12
U-06,2020-07-20,3,0,0,12-16,2020-07-20 12-16
