date,day_of_week,is_weekend,street_type,unique_devices
2020-07-11,토,TRUE,Regular,15320
2020-07-12,일,TRUE,Regular,13802
2020-07-13,월,FALSE,Regular,15310
2020-07-14,화,FALSE,Regular,18199
2020-07-15,수,FALSE,Regular,18162
2020-07-16,목,FALSE,Regular,18455
2020-07-17,금,FALSE,Regular,19788
2020-07-18,토,TRUE,Regular,17924
2020-07-19,일,TRUE,Regular,14912
2020-07-20,월,FALSE,Regular,6064
2020-07-11,토,TRUE,Pedestrian,12634
2020-07-12,일,TRUE,Pedestrian,9396
2020-07-13,월,FALSE,Pedestrian,9508
2020-07-14,화,FALSE,Pedestrian,12099
2020-07-15,수,FALSE,Pedestrian,11991
2020-07-16,목,FALSE,Pedestrian,11983
2020-07-17,금,FALSE,Pedestrian,14967
2020-07-18,토,TRUE,Pedestrian,10732
2020-07-19,일,TRUE,Pedestrian,9617
2020-07-20,월,FALSE,Pedestrian,3871
