hour,street_type,unique_devices
8,Regular,7695
9,Regular,8227
10,Regular,8828
11,Regular,10104
12,Regular,12273
13,Regular,12624
14,Regular,12334
15,Regular,12925
16,Regular,13787
17,Regular,14929
18,Regular,15358
19,Regular,14242
20,Regular,12825
21,Regular,11685
22,Regular,9574
23,Regular,6858
0,Regular,4585
1,Regular,3200
2,Regular,2240
3,Regular,1691
4,Regular,1324
5,Regular,1935
6,Regular,3005
7,Regular,4695
8,Pedestrian,4605
9,Pedestrian,4971
10,Pedestrian,5672
11,Pedestrian,6286
12,Pedestrian,7936
13,Pedestrian,8505
14,Pedestrian,8378
15,Pedestrian,8571
16,Pedestrian,9113
17,Pedestrian,9837
18,Pedestrian,10410
19,Pedestrian,9762
20,Pedestrian,8924
21,Pedestrian,8478
22,Pedestrian,6746
23,Pedestrian,5087
0,Pedestrian,3448
1,Pedestrian,2686
2,Pedestrian,1958
3,Pedestrian,1371
4,Pedestrian,1044
5,Pedestrian,1298
6,Pedestrian,1800
7,Pedestrian,2800
