source_address,n_days,visitor_type,device_class
00:0b:29:70:ae:80,23,Resident (20+ days),Campus member (seen during interview)
00:0b:29:70:bc:25,23,Resident (20+ days),Campus member (seen during interview)
00:13:15:0e:ae:54,25,Resident (20+ days),Campus member (seen during interview)
00:13:77:69:e9:42,8,Occasional (3-9 days),Campus member (seen during interview)
00:13:77:c9:4a:80,24,Resident (20+ days),Campus member (seen during interview)
00:13:77:cf:f0:e4,3,Occasional (3-9 days),Not seen during interview
00:15:5d:0e:7b:0c,8,Occasional (3-9 days),Campus member (seen during interview)
00:15:5d:0f:e5:05,5,Occasional (3-9 days),Not seen during interview
00:15:99:0f:b3:00,15,Regular (10-19 days),Campus member (seen during interview)
00:15:99:0f:b3:0c,1,One-time (1 day),Not seen during interview
00:15:99:0f:b3:41,26,Resident (20+ days),Campus member (seen during interview)
00:15:99:8e:90:d4,5,Occasional (3-9 days),Not seen during interview
00:15:99:96:f8:10,22,Resident (20+ days),Campus member (seen during interview)
00:15:99:97:e0:bb,26,Resident (20+ days),Campus member (seen during interview)
00:15:99:9a:6c:63,25,Resident (20+ days),Campus member (seen during interview)
00:15:99:9b:68:ca,21,Resident (20+ days),Campus member (seen during interview)
00:15:99:a0:73:5c,26,Resident (20+ days),Campus member (seen during interview)
00:15:99:b4:06:88,12,Regular (10-19 days),Campus member (seen during interview)
00:15:99:c9:3e:ae,26,Resident (20+ days),Campus member (seen during interview)
00:15:99:ce:b3:f4,20,Resident (20+ days),Campus member (seen during interview)
00:15:99:d5:a9:e0,26,Resident (20+ days),Campus member (seen during interview)
00:15:99:e2:ae:f3,26,Resident (20+ days),Campus member (seen during interview)
00:15:99:e9:66:f0,9,Occasional (3-9 days),Not seen during interview
00:15:99:ee:1b:89,10,Regular (10-19 days),Campus member (seen during interview)
00:16:6c:86:81:bc,27,Resident (20+ days),Campus member (seen during interview)
00:16:6c:c8:56:c1,3,Occasional (3-9 days),Not seen during interview
00:1b:63:f3:e1:b3,8,Occasional (3-9 days),Not seen during interview
00:1c:b3:c4:0d:71,12,Regular (10-19 days),Campus member (seen during interview)
00:23:df:e0:55:2d,24,Resident (20+ days),Campus member (seen during interview)
00:24:54:30:ef:32,15,Regular (10-19 days),Not seen during interview
00:24:54:36:11:38,7,Occasional (3-9 days),Not seen during interview
00:24:54:91:a7:af,17,Regular (10-19 days),Campus member (seen during interview)
00:24:54:98:ee:cb,9,Occasional (3-9 days),Not seen during interview
00:34:da:09:ea:3e,5,Occasional (3-9 days),Not seen during interview
00:34:da:0a:5b:e3,1,One-time (1 day),Interview-only (Outsider)
00:34:da:0a:ce:2c,26,Resident (20+ days),Campus member (seen during interview)
00:34:da:0d:9a:23,21,Resident (20+ days),Campus member (seen during interview)
00:34:da:0d:b8:e9,21,Resident (20+ days),Campus member (seen during interview)
00:34:da:0f:aa:e5,1,One-time (1 day),Not seen during interview
00:34:da:10:5f:fa,1,One-time (1 day),Interview-only (Outsider)
00:34:da:3c:88:7c,19,Regular (10-19 days),Campus member (seen during interview)
00:34:da:3c:ca:e0,1,One-time (1 day),Not seen during interview
00:34:da:3d:38:0a,1,One-time (1 day),Interview-only (Outsider)
00:34:da:3e:41:fb,12,Regular (10-19 days),Campus member (seen during interview)
00:34:da:3f:06:d6,17,Regular (10-19 days),Not seen during interview
00:34:da:40:41:46,1,One-time (1 day),Not seen during interview
00:34:da:40:72:01,17,Regular (10-19 days),Campus member (seen during interview)
00:34:da:42:f2:12,1,One-time (1 day),Interview-only (Outsider)
00:34:da:59:52:61,1,One-time (1 day),Not seen during interview
00:34:da:59:54:d1,17,Regular (10-19 days),Campus member (seen during interview)
00:34:da:59:cc:c1,2,Rare (2 days),Not seen during interview
00:34:da:70:aa:74,3,Occasional (3-9 days),Not seen during interview
00:34:da:85:64:b1,20,Resident (20+ days),Campus member (seen during interview)
00:34:da:89:ac:f9,2,Rare (2 days),Not seen during interview
00:34:da:89:af:b8,11,Regular (10-19 days),Campus member (seen during interview)
00:34:da:89:b2:ea,5,Occasional (3-9 days),Campus member (seen during interview)
00:34:da:89:ea:a8,27,Resident (20+ days),Campus member (seen during interview)
00:34:da:8b:52:31,18,Regular (10-19 days),Campus member (seen during interview)
00:34:da:8b:66:8c,1,One-time (1 day),Interview-only (Outsider)
00:34:da:8b:a8:33,1,One-time (1 day),Not seen during interview
00:34:da:8d:ce:bf,4,Occasional (3-9 days),Not seen during interview
00:34:da:91:7c:1c,1,One-time (1 day),Interview-only (Outsider)
00:34:da:92:2c:9a,2,Rare (2 days),Not seen during interview
00:34:da:92:63:9f,1,One-time (1 day),Not seen during interview
00:34:da:92:a9:18,1,One-time (1 day),Not seen during interview
00:34:da:93:6c:88,4,Occasional (3-9 days),Not seen during interview
00:34:da:93:7c:93,1,One-time (1 day),Not seen during interview
00:34:da:95:0f:66,1,One-time (1 day),Interview-only (Outsider)
00:34:da:97:ff:47,18,Regular (10-19 days),Not seen during interview
