id_stayGPS,source_address,nm_prsn,stayGPS_start,stayGPS_end,stayGPS_x,stayGPS_y,stayGPS_duration,duration_cat,wifi_count,wifi_sensors,dist_to_nearest_sensor,nearest_sensor,issue
1,00:5b:94:c3:90:bc,P096,2019-10-21T14:28:12Z,2019-10-21T14:33:42Z,398370.366497839,332933.444647037,330,5-10min,13,"sensor_202_front,sensor_bridge_main_engineer",26.3418981760871,sensor_202_front,Potentially matchable
2,00:5b:94:c3:90:bc,P096,2019-10-24T16:06:34Z,2019-10-24T16:15:24Z,398378.334960726,332933.835802463,530,5-10min,217,sensor_202_front,22.0761889681876,sensor_202_front,Potentially matchable
3,00:5b:94:c3:90:bc,P096,2019-10-28T12:30:37Z,2019-10-28T12:40:12Z,398703.901199704,332937.336921188,575,5-10min,58,sensor_bus_station,10.4620326276127,sensor_bus_station,Potentially matchable
4,00:5b:94:c3:90:bc,P096,2019-10-29T17:11:45Z,2019-10-29T17:16:25Z,398483.841705493,332820.191182347,280,3-5min,0,"",29.2729824828869,sensor_lake,No WiFi detection
5,00:5b:94:c3:90:bc,P096,2019-10-29T17:21:30Z,2019-10-29T17:27:45Z,398482.816603003,332813.643160042,375,5-10min,0,"",35.8422827700039,sensor_lake,No WiFi detection
6,00:cd:fe:17:e0:d0,P083,2019-10-21T12:23:53Z,2019-10-21T12:28:03Z,398380.239148856,333024.162380173,250,3-5min,204,"sensor_203_front,sensor_btw_TMB_library,sensor_202_front,sensor_football_field_front",45.2808422668668,sensor_btw_TMB_library,Potentially matchable
7,00:cd:fe:17:e0:d0,P083,2019-10-24T22:09:46Z,2019-10-24T22:15:06Z,398657.640928171,333221.424444251,320,5-10min,0,"",7.55757215003649,sensor_PC_room_front,No WiFi detection
8,00:cd:fe:17:e0:d0,P083,2019-10-28T17:26:20Z,2019-10-28T17:34:45Z,398707.79926792,332932.589616608,505,5-10min,36,sensor_bus_station,12.9487453782853,sensor_bus_station,Potentially matchable
9,00:cd:fe:17:e0:d0,P083,2019-10-28T22:13:44Z,2019-10-28T22:16:49Z,398308.799559869,333287.092430599,185,3-5min,2,sensor_dorm_front,49.3148716531487,sensor_dorm_front,Insufficient WiFi (<3 packets)
10,00:cd:fe:17:e0:d0,P083,2019-10-31T01:41:38Z,2019-10-31T01:45:58Z,398333.766462719,333240.841134851,260,3-5min,5,"sensor_dorm_front,sensor_parking_dorm",3.79884385125136,sensor_dorm_front,Potentially matchable
11,00:cd:fe:17:e0:d0,P083,2019-11-12T16:30:16Z,2019-11-12T16:33:26Z,398604.994114721,332910.831680333,190,3-5min,12,sensor_btw_201_102,30.2620318805755,sensor_btw_201_102,Potentially matchable
12,00:cd:fe:17:e0:d0,P083,2019-11-13T10:58:27Z,2019-11-13T11:04:27Z,398333.592116754,333243.377667686,360,5-10min,1,sensor_parking_dorm,3.11825921740162,sensor_dorm_front,Insufficient WiFi (<3 packets)
13,00:cd:fe:17:e0:d0,P083,2019-11-13T18:07:14Z,2019-11-13T18:10:34Z,398705.446681502,332926.286311106,200,3-5min,26,"sensor_bus_station,sensor_btw_201_102",12.0633501839304,sensor_bus_station,Potentially matchable
14,08:ae:d6:01:a4:85,P046,2019-11-06T09:00:55Z,2019-11-06T09:06:35Z,398686.40824775,332968.432543128,340,5-10min,61,"sensor_bus_station,sensor_football_field_back",37.3308176237526,sensor_bus_station,Potentially matchable
