id_stayGPS,source_address,nm_prsn,stayGPS_start,stayGPS_end,stayGPS_x,stayGPS_y,stayGPS_duration,matched,wifi_id,spatial_dist,time_overlap
2,00:5b:94:c3:90:bc,P096,2019-10-24T16:06:34Z,2019-10-24T16:15:24Z,398378.334960726,332933.835802463,530,TRUE,2,22.0761889681876,524
3,00:5b:94:c3:90:bc,P096,2019-10-28T12:30:37Z,2019-10-28T12:40:12Z,398703.901199704,332937.336921188,575,TRUE,3,10.4620326276127,575
6,00:cd:fe:17:e0:d0,P083,2019-10-21T12:23:53Z,2019-10-21T12:28:03Z,398380.239148856,333024.162380173,250,TRUE,6,62.9106357204368,243
8,00:cd:fe:17:e0:d0,P083,2019-10-28T17:26:20Z,2019-10-28T17:34:45Z,398707.79926792,332932.589616608,505,TRUE,8,12.9487453782853,305
13,00:cd:fe:17:e0:d0,P083,2019-11-13T18:07:14Z,2019-11-13T18:10:34Z,398705.446681502,332926.286311106,200,TRUE,12,12.0633501839304,146
14,08:ae:d6:01:a4:85,P046,2019-11-06T09:00:55Z,2019-11-06T09:06:35Z,398686.40824775,332968.432543128,340,TRUE,17,37.3308176237526,340
15,08:ae:d6:01:a4:85,P046,2019-11-08T02:13:06Z,2019-11-08T02:16:56Z,398569.853157957,333145.070567767,230,TRUE,18,8.0511624463208,230
16,08:ae:d6:01:a4:85,P046,2019-11-08T15:59:15Z,2019-11-08T16:08:20Z,398699.017169126,332929.931984361,545,TRUE,20,4.67451362140016,545
17,08:ae:d6:01:a4:85,P046,2019-11-13T17:37:04Z,2019-11-13T17:40:29Z,398717.578515888,332923.589022486,205,TRUE,21,24.2495034892996,205
19,08:ae:d6:11:24:7f,P067,2019-10-28T17:11:23Z,2019-10-28T17:21:08Z,398309.307465696,333259.982266152,585,TRUE,22,27.2886252918934,228
25,08:ae:d6:23:d6:53,P104,2019-10-25T08:33:35Z,2019-10-25T08:37:10Z,398695.101255329,332944.05729344,215,TRUE,31,11.9884385872332,215
26,08:ae:d6:23:d6:53,P104,2019-10-29T17:54:42Z,2019-10-29T17:58:57Z,398226.255603713,333267.050409243,255,TRUE,32,30.4875231900015,255
27,08:ae:d6:23:d6:53,P104,2019-11-01T17:13:56Z,2019-11-01T17:18:51Z,398364.702429067,332933.069070703,295,TRUE,33,30.3687936437871,224
30,08:ae:d6:23:d6:53,P104,2019-11-04T20:50:04Z,2019-11-04T20:53:39Z,398518.565045554,332892.880271914,215,TRUE,35,51.7522532691043,76
31,08:ae:d6:23:d6:53,P104,2019-11-06T20:17:17Z,2019-11-06T20:24:57Z,398333.532859475,333223.461400262,460,TRUE,37,19.5915248574305,223
37,08:ae:d6:28:34:bb,P101,2019-10-22T17:06:14Z,2019-10-22T17:11:04Z,398386.570051189,333142.657009218,290,TRUE,40,27.7103108065026,290
38,08:ae:d6:28:34:bb,P101,2019-10-24T17:31:11Z,2019-10-24T17:37:51Z,398698.321732366,332935.821028478,400,TRUE,43,5.10275202051585,331
39,08:ae:d6:28:34:bb,P101,2019-10-28T13:23:41Z,2019-10-28T13:27:01Z,398542.260492548,333159.504877403,200,TRUE,45,27.5068399513881,200
41,08:ae:d6:28:34:bb,P101,2019-10-29T22:41:15Z,2019-10-29T22:45:40Z,398381.576664168,333139.043733984,265,TRUE,47,26.5859165742372,265
44,08:ae:d6:28:34:bb,P101,2019-10-31T17:37:03Z,2019-10-31T17:40:33Z,398706.061407206,332937.208850665,210,TRUE,50,12.3225854884518,210
